Reaction,Name,Subsystem,Unconstrained_Flux,Constrained_Flux,Difference,Formula
GLYCLm,Glycine cleavage system  mitochondrial,,-150.99004446242526,-0.025000000000000015,150.96504446242525,gly_m + nad_m + thf_m <-- co2_m + mlthf_m + nadh_m + nh4_m
RNTR4,Ribonucleoside triphosphate reductase  UTP,,-149.15927707415855,0.0,149.15927707415855,trdrd_c + utp_c <=> dutp_c + h2o_c + trdox_c
COAtim,CoA transporter  mitochondrial   irreversible,,-161.96619894727408,-13.450824037423544,148.51537490985055,coa_c <=> coa_m
ADK1m,Adenylate kinase  mitochondrial,,144.71680527043083,0.0,144.71680527043083,amp_m + atp_m <=> 2.0 adp_m
SK_gln__L_c,Sink gln L[c],,-143.46658032714302,0.0,143.46658032714302,gln__L_c <=> 
AKGDm,2-oxoglutarate dehydrogenase,,153.6017488778858,15.662490704090189,137.93925817379562,akg_m + coa_m + nad_m --> co2_m + nadh_m + succoa_m
G6Pter,Glucose 6 phosphate endoplasmic reticular transport via diffusion,,124.55314359117763,0.0,124.55314359117763,g6p_c <=> g6p_r
ALCD1,Alcohol dehydrogenase (methanol),,124.4688525457518,0.0,124.4688525457518,meoh_c + nad_c <=> fald_c + h_c + nadh_c
MEOHt2,Methanol diffusion,,124.46885254575179,0.0,124.46885254575179,meoh_e <=> meoh_c
CE5629t,"Transport of 6, 7-Dihydroxy-1, 2, 3, 4-Tetrahydroisoquinoline",,-124.46885254575179,0.0,124.46885254575179,CE5629_c <=> CE5629_e
RE1921C,Aromatic-L-Amino-Acid Decarboxylase,,-124.46885254575179,0.0,124.46885254575179,CE5626_c <=> CE5629_c + co2_c + 2.0 h_c
RE1919C,RE1919,,-124.46885254575179,0.0,124.46885254575179,dopa_c + pyr_c <=> CE5626_c + h2o_c
RE2130C,RE2130,,124.46885254575179,0.0,124.46885254575179,dopa_c + fald_c <=> CE2172_c + h2o_c
CE2172t,"Transport of 6, 7-Dihydroxy-1, 2, 3, 4-Tetrahydroisoquinoline",,124.46885254575177,0.0,124.46885254575177,CE2172_c <=> CE2172_e
H2Otp,H2O transport  peroxisomal,,-281.70055355920397,-161.16988844908235,120.53066511012162,h2o_c <=> h2o_x
ACTNMO,Acetone monooxygenase,,111.0028032397004,0.0,111.0028032397004,acetone_c + h_c + nadph_c + o2_c --> acetol_c + h2o_c + nadp_c
ALCD22_L,Alcohol dehydrogenase (L-lactaldehyde),,111.00280323970041,6.7179120187117745,104.28489122098864,lald__L_c + nad_c --> h_c + mthgxl_c + nadh_c
ALR3,Aldose reductase (acetol),,111.0028032397004,6.717912018711775,104.28489122098863,acetol_c + h_c + nadph_c --> 12ppd__S_c + nadp_c
LCARS,"Lacaldehyde reductase (S-propane-1,2-diol forming)",,-111.0028032397004,-6.717912018711775,104.28489122098863,h_c + lald__L_c + nadh_c <-- 12ppd__S_c + nad_c
TYRASPARGr,Metabolism (Formation/Degradation) of TyrAspArg,,-101.61127705228124,0.0,101.61127705228124,2.0 h2o_c + tyrasparg_c <=> arg__L_c + asp__L_c + tyr__L_c
TYRASPARGt,"Transport of TyrAspArg, Extracellular",,-101.61127705228124,0.0,101.61127705228124,h_e + tyrasparg_e <=> h_c + tyrasparg_c
O2t,O2 transport  diffusion,,0.0,100.0,100.0,o2_e <=> o2_c
BAAT3x,Bile acid Coenzyme A: amino acid N-acyltransferase,,0.0,94.01576826196471,94.01576826196471,dgcholcoa_x + gly_x --> coa_x + dgchol_x
AMACR2p,Alpha-methylacyl-CoA racemase (reductase),,0.0,94.01576826196471,94.01576826196471,dhcholestancoa_x + 0.5 o2_x --> dhcholoylcoa_x + h2o_x
r1019,Postulated transport reaction,,0.0,-94.01576826196471,94.01576826196471,dcholcoa_x <=> dcholcoa_c
GLYtp,Glycine passive transport to peroxisome,,0.0,94.01576826196471,94.01576826196471,gly_c <=> gly_x
DGCHOLtx,Bile acid intracellular transport,,0.0,94.0157682619647,94.0157682619647,dgchol_x <=> dgchol_c
r0797,Glycine N-choloyltransferase EC:2.3.1.65,,0.0,-94.0157682619647,94.0157682619647,dcholcoa_c + gly_c <=> coa_c + dgchol_c
PPM,Phosphopentomutase,,90.03800361861326,-3.0314787949339597e-18,90.03800361861326,r1p_c <=> r5p_c
NDPK6m,"ATP:dUDP phosphotransferase, mitochondria",,-90.03800361861258,0.0,90.03800361861258,atp_m + dudp_m <=> adp_m + dutp_m
DNDPt38m,DUTP transport via dUDP antiport,,90.03800361861258,0.0,90.03800361861258,dudp_m + dutp_c --> dudp_c + dutp_m
SARDHm,Sarcosine dehydrogenase (m),,86.67684779394246,-2.3617644470496485e-17,86.67684779394246,fad_m + sarcs_m + thf_m --> fadh2_m + gly_m + mlthf_m
AMETr,S-Adenosyl-L-methionine intracellular diffusion,,-86.67684779394246,0.0,86.67684779394246,amet_c <=> amet_r
SARCStm,Sarcosine transport (mitochondrial),,86.67684779394244,1.7045252897509609e-18,86.67684779394244,sarcs_c --> sarcs_m
GNMT,Glycine N-methyltransferase,,86.67684779394244,0.0,86.67684779394244,amet_c + gly_c --> ahcys_c + h_c + sarcs_c
AHCYStr,S-Adenosyl-L-homocysteine intracellular diffusion,,86.67684779394244,0.0,86.67684779394244,ahcys_c <=> ahcys_r
HISLYSTHRt,"Transport of HisLysThr, Extracellular",,82.0368804625982,0.0,82.0368804625982,h_e + hislysthr_e <=> h_c + hislysthr_c
HISLYSTHRr,Metabolism (Formation/Degradation) of HisLysThr,,82.0368804625982,0.0,82.0368804625982,2.0 h2o_c + hislysthr_c <=> his__L_c + lys__L_c + thr__L_c
COAtp,"Coenzyme A transport, peroxisomal",,0.0,-80.58494422454118,80.58494422454118,coa_c <=> coa_x
NADH2_u10mi,NADH2 u10mi,,0.0,78.25245352045097,78.25245352045097,5.0 h_m + nadh_m + q10_m --> 4.0 h_i + nad_m + q10h2_m
UAG4Ei,UDP-N-acetylglucosamine 4-epimerase,,75.03166968217765,0.0,75.03166968217765,uacgam_c <=> udpacgal_c
HMR_0811,Alpha-N-Acetylgalactosaminidase,,75.03166968217765,0.0,75.03166968217765,M02197_c + h2o_c --> acgal_c + gbside_hs_c
GF6PTA,Glutamine-fructose-6-phosphate transaminase,,75.03166968217765,0.0,75.03166968217765,f6p_c + gln__L_c --> gam6p_c + glu__L_c
ACGALtr,N-Acetylgalactosamine Export,,75.03166968217765,0.0,75.03166968217765,acgal_c --> acgal_e
HMR_3106,HMR 3106,,-75.03166968217765,0.0,75.03166968217765,accoa_c <=> accoa_x
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,,75.03166968217765,0.0,75.03166968217765,accoa_c + gam6p_c --> acgam6p_c + coa_c + h_c
HMR_0810,Globoside Alpha-N-Acetylgalactosaminyltransferase,,75.03166968217764,0.0,75.03166968217764,gbside_hs_c + udpacgal_c --> M02197_c + h_c + udp_c
ACGAMPM,Phosphoacetylglucosamine mutase,,75.03166968217764,0.0,75.03166968217764,acgam6p_c <=> acgam1p_c
UAGDP,UDP-N-acetylglucosamine diphosphorylase,,75.03166968217764,0.0,75.03166968217764,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c
ILESERARGr,Metabolism (Formation/Degradation) of IleSerArg,,68.85997220176638,0.0,68.85997220176638,2.0 h2o_c + ileserarg_c <=> arg__L_c + ile__L_c + ser__L_c
ILESERARGt,"Transport of IleSerArg, Extracellular",,68.85997220176638,0.0,68.85997220176638,h_e + ileserarg_e <=> h_c + ileserarg_c
PROASNCYSr,Metabolism (Formation/Degradation) of ProAsnCys,,66.52213363936072,0.0,66.52213363936072,2.0 h2o_c + proasncys_c <=> asn__L_c + cys__L_c + pro__L_c
PROASNCYSt,"Transport of ProAsnCys, Extracellular",,66.52213363936072,0.0,66.52213363936072,h_e + proasncys_e <=> h_c + proasncys_c
SFCYSe,Exit of sulfocysteine into extra-cellular space,,64.31319666848283,0.0,64.31319666848283,slfcys_c <=> slfcys_e
r0512,Dihydrofolate:NAD+ oxidoreductase Folate biosynthesis EC:1.5.1.3,,64.31319666848283,0.0,64.31319666848283,dhf_c + nad_c <=> fol_c + nadh_c
SFCYSc,Formation of sulfocysteine,,64.31319666848283,0.0,64.31319666848283,cys__L_c + h_c + so3_c <=> slfcys_c
HC00900t1,"Transport of Methylmalonate, Antiport with Sulphite",,64.31319666848282,0.0,64.31319666848282,HC00900_c + so3_e <=> HC00900_e + so3_c
DHFR,Dihydrofolate reductase,,-64.31319666848282,0.0,64.31319666848282,dhf_c + h_c + nadph_c <=> nadp_c + thf_c
MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),,64.31319666848282,0.0,64.31319666848282,mlthf_c + nadp_c <=> methf_c + nadph_c
MLTHFte3,Transport by Folr into Extracellular Space,,64.3131966684828,0.0,64.3131966684828,mlthf_e --> mlthf_c
